id,codigo_acao_empresa,nome_empresa,setor_codigo_empresa,setor_empresa,segmento_empresa
1,BRAP4,BRADESPAR,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
2,PMAM3,PARANAPANEMA,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
3,CSNA3,SID NACIONAL,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
4,SUZB3,SUZANO S.A.,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
5,BRKM5,BRASKEM,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
6,RANI3,IRANI,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
7,DEXP3,DEXXOS PAR,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
8,GGBR4,GERDAU,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
9,UNIP6,UNIPAR,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
10,KLBN11,KLABIN S/A,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
11,GOAU4,GERDAU MET,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
12,DXCO3,DEXCO,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
13,USIM3,USIMINAS,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
14,USIM5,USIMINAS,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
15,FESA4,FERBASA,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
16,VALE3,VALE,IMAT,SEGMENTS AND SECTORS,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT)
17,AALR3,ALLIAR,ICON,SEGMENTS AND SECTORS,BM&FBOVESPA CONSUMER STOCK INDEX (ICON)
18,ALPA4,ALPARGATAS,ICON,SEGMENTS AND SECTORS,BM&FBOVESPA CONSUMER STOCK INDEX (ICON)
